"values","ind"
"FALSE","select_indicators_box"
"TRUE","select_indicators_box"
"6","select_indicators_box"
"- For LaTeX output, the first class name will be used as the LaTeX environment name - We show two simple examples below. The first example uses the verbatim environment in LaTeX, which does not have any arguments - This attribute can be an empty string if the environment does not need arguments.","report_facts"
"FALSE","select_indicators_open"
"12345","37_2021"
"12345","41_2022"
"12345","8_2023"
"","13_2023"
"TRUE","controlbar"
"12345","41_2021"
"3","46_2023"
"12345","28_2023"
"12345","37_2022"
"3","51_2022"
"3","52_2023"
"- tiltag 1 - tiltag 2 -tiltag3","initiatives_fut_ØKONOMISK ROBUSTHED"
"12345","4_2021"
"12345","3_2022"
"Nej","20_2022"
"3","43_2022"
"12345","10_2023"
"3","43_2023"
"3","50_2022"
"Ja","20_2021"
"12345","5_2023"
"TRUE","sidebarId"
"12345","1_2022"
"12345","5_2021"
"For LaTeX output, the first class name will be used as the LaTeX environment name. You should also provide an attribute named data-latex in the Div block, which will be the arguments of the environment. This attribute can be an empty string if the environment does not need arguments. We show two simple examples below. The first example uses the verbatim environment in LaTeX, which does not have any arguments:","report_intro"
"12345","10_2022"
"12345","1_2021"
"12345","31_2021"
"3","42_2022"
"12345","21_2021"
"3","17_2022"
"12345","3_2023"
"12345","32_2023"
"- tiltag 1 - tiltag 2 -tiltag3","initiatives_curr_LEDELSE"
"12345","24_2021"
"12345","32_2022"
"- tiltag 1 - tiltag 2 -tiltag3","initiatives_curr_OPTIMAL RESSOURCEANVENDELSE"
"- tiltag 1 - tiltag 2 -tiltag3","initiatives_curr_HUSDYRENES SUNDHED OG VELFÆRD"
"12345","16_2023"
"3","46_2021"
"12345","1_2023"
"12345","36_2022"
"12345","23_2022"
"12345","33_2021"
"- tiltag 1 - tiltag 2 -tiltag3","initiatives_fut_OPTIMAL RESSOURCEANVENDELSE"
"- tiltag 1 - tiltag 2 -tiltag3","initiatives_curr_ØKONOMISK ROBUSTHED"
"12345","25_2022"
"12345","6_2022"
"12345","36_2023"
"3","42_2021"
"12345","23_2021"
"12345","36_2021"
"ESG Rapport","report_title"
"choose","tabs_745641551"
"12345","2_2022"
"12345","40_2022"
"12345","45_2022"
"3","49_2021"
"- tiltag 1 - tiltag 2 -tiltag3","initiatives_fut_VANDMILJØ OG LUFTKVALITET"
